,FirstInstanceStartLocation,FirstInstanceEndLocation,SecondInstanceStartLocation,SecondInstanceEndLocation,Length,Distance
tmp.log:205:Motif:,155433,156817,224755,226145,1384,16.8178374
tmp.log:206:Motif:,229486,230718,233239,234460,1221,14.93497835
tmp.log:207:Motif:,171251,171774,229498,230025,523,5.293621047
tmp.log:208:Motif:,121852,122459,133371,133983,607,8.34949635
tmp.log:209:Motif:,96078,96658,174145,174723,578,21.58190092
tmp.log:210:Motif:,229494,230118,233246,233872,624,7.058107224
tmp.log:211:Motif:,176699,177541,202254,203112,842,18.69361519
tmp.log:212:Motif:,173413,173861,240188,240585,397,21.33600195
tmp.log:213:Motif:,149141,150173,151441,152476,1032,12.97756243
tmp.log:214:Motif:,228864,229777,234559,235462,903,25.27115761
tmp.log:215:Motif:,155420,156816,224743,226136,1393,15.95909397
tmp.log:216:Motif:,114940,116194,238393,239623,1230,44.77745649
tmp.log:217:Motif:,120943,121628,135416,136116,685,13.26125564
tmp.log:218:Motif:,183155,184905,197461,199197,1736,52.00008704
tmp.log:219:Motif:,24816,25710,32450,33345,894,30.18783071
tmp.log:220:Motif:,189719,190108,199069,199459,389,5.119621745
tmp.log:221:Motif:,48287,49287,214228,215210,982,15.38776423
tmp.log:222:Motif:,110107,110844,135016,135780,737,17.88978323
tmp.log:223:Motif:,229418,230437,233169,234215,1019,14.98021315
tmp.log:224:Motif:,197803,198874,225483,226547,1064,17.7434026
tmp.log:225:Motif:,177162,177788,192533,193162,626,13.54971519
tmp.log:226:Motif:,51835,52383,55441,55991,548,10.52677102
tmp.log:227:Motif:,176023,177679,224822,226506,1656,27.85854435
tmp.log:228:Motif:,193557,193960,204135,204538,403,6.319828598
tmp.log:229:Motif:,163020,164024,182086,183094,1004,13.80971575
tmp.log:230:Motif:,144146,144728,146062,146648,582,16.28193158
tmp.log:231:Motif:,218476,220063,223898,225487,1587,36.0363611
tmp.log:232:Motif:,150569,151202,199878,200508,630,12.83792929
tmp.log:233:Motif:,85847,86983,200196,201321,1125,36.21948322
tmp.log:234:Motif:,214673,215012,233438,233751,313,14.15840177
tmp.log:235:Motif:,33032,33740,197531,198243,708,13.33548146
tmp.log:236:Motif:,210115,210943,228339,229167,828,12.58539
tmp.log:237:Motif:,168998,169596,181156,181761,598,9.22661413
tmp.log:238:Motif:,118725,119877,128888,130037,1149,22.9785367
tmp.log:239:Motif:,164202,165561,190883,192238,1355,31.32786897
tmp.log:240:Motif:,3310,3955,163873,164540,645,14.16042186
tmp.log:241:Motif:,162748,164152,189414,190832,1404,21.40965095
tmp.log:242:Motif:,55073,55395,62318,62643,322,4.685173067
tmp.log:243:Motif:,139780,140380,142257,142857,600,1.65E-06
tmp.log:244:Motif:,87196,88273,230727,231846,1077,33.63744488
tmp.log:245:Motif:,176031,176578,182852,183394,542,7.471590898
tmp.log:246:Motif:,57633,57974,231323,231665,341,3.608036142
tmp.log:247:Motif:,32232,32552,175040,175368,320,8.875368188
tmp.log:248:Motif:,196714,197680,230906,231850,944,30.16038959
tmp.log:249:Motif:,196861,197963,236306,237404,1098,25.03366891
tmp.log:250:Motif:,163149,164059,182222,183131,909,16.5916799
tmp.log:251:Motif:,230663,231491,241931,242756,825,23.88945496
tmp.log:252:Motif:,33545,33866,55330,55650,320,3.125373646
tmp.log:253:Motif:,181096,181494,204501,204899,398,6.381061811
tmp.log:254:Motif:,173382,173895,235754,236274,513,15.80060473
tmp.log:255:Motif:,216590,218119,233210,234753,1529,35.53120875
tmp.log:256:Motif:,193423,194509,202012,203076,1064,15.48683694
tmp.log:257:Motif:,168957,169305,181116,181464,348,4.390790963
tmp.log:258:Motif:,135957,136360,184510,184905,395,4.887177948
tmp.log:259:Motif:,6896,8115,186964,188160,1196,42.04989779
tmp.log:260:Motif:,222516,223212,235270,235972,696,18.0258091
tmp.log:261:Motif:,21476,21803,22339,22675,327,1.955778484
tmp.log:262:Motif:,168375,168887,179878,180397,512,12.07324728
tmp.log:263:Motif:,71562,72329,184834,185610,767,12.77479626
tmp.log:264:Motif:,175218,176702,242376,243864,1484,38.82684187
tmp.log:265:Motif:,230738,232400,242321,244010,1662,52.24526851
tmp.log:266:Motif:,42518,42826,72121,72441,308,21.75906541
tmp.log:267:Motif:,183017,184308,197295,198565,1270,25.1323484
tmp.log:268:Motif:,180186,181708,213701,215238,1522,36.00258268
tmp.log:269:Motif:,46521,47078,192550,193112,557,7.072582232
tmp.log:270:Motif:,181720,182176,202085,202541,456,4.609801084
tmp.log:271:Motif:,211679,212889,237665,238858,1193,30.56949567
tmp.log:272:Motif:,169510,170114,222426,223058,604,13.51256362
tmp.log:273:Motif:,150840,151268,172346,172773,427,3.516921001
tmp.log:274:Motif:,78482,78904,108482,108904,422,20.03143141
tmp.log:275:Motif:,197230,198977,228806,230531,1725,35.77631697
tmp.log:276:Motif:,210107,210526,228335,228759,419,6.550503281
tmp.log:277:Motif:,193435,194553,227533,228645,1112,19.55807709
tmp.log:278:Motif:,121808,122922,133319,134439,1114,15.76643442
tmp.log:279:Motif:,86848,87899,135016,136097,1051,24.9138103
tmp.log:280:Motif:,47601,48732,166981,168153,1131,20.13002285
tmp.log:281:Motif:,77833,78975,134789,135929,1140,23.7365484
tmp.log:282:Motif:,34482,35224,192490,193219,729,13.49387568
tmp.log:283:Motif:,58756,59518,75892,76595,703,24.78723808
tmp.log:284:Motif:,205135,205928,238637,239405,768,16.7781752
tmp.log:285:Motif:,24465,25123,41597,42285,658,18.30303747
tmp.log:286:Motif:,69157,69700,241688,242225,537,10.15100847
tmp.log:287:Motif:,150502,151120,154676,155279,603,9.783955888
tmp.log:288:Motif:,75552,75888,116152,116502,336,15.97881342
tmp.log:289:Motif:,14688,15003,27235,27549,314,6.545660759
tmp.log:290:Motif:,229451,230302,233204,234052,848,9.41188387
tmp.log:291:Motif:,215017,215720,217151,217835,684,23.22636308
tmp.log:292:Motif:,55724,56385,74077,74761,661,18.96563112
tmp.log:293:Motif:,183055,183806,228586,229352,751,14.50298923
tmp.log:294:Motif:,73757,74634,174338,175183,845,19.78487717
tmp.log:295:Motif:,47692,48392,228338,229056,700,12.16730544
tmp.log:296:Motif:,160208,160892,225274,225963,684,5.089749863
tmp.log:297:Motif:,128109,128914,142868,143635,767,22.06751103
tmp.log:298:Motif:,210250,211226,228480,229437,957,18.32944947
tmp.log:299:Motif:,23666,24071,62406,62799,393,5.96099442
tmp.log:300:Motif:,122744,123491,133669,134424,747,11.21759986
tmp.log:301:Motif:,163252,163992,164556,165292,736,14.43372665
tmp.log:302:Motif:,132436,133122,209937,210634,686,26.87036488
tmp.log:303:Motif:,171354,171785,233354,233788,431,6.061384202
tmp.log:304:Motif:,130151,130684,150473,151004,531,8.428010521
tmp.log:305:Motif:,149094,150254,151391,152561,1160,11.35350268
tmp.log:306:Motif:,152207,152831,235189,235817,624,6.35629787
tmp.log:307:Motif:,81199,81544,126721,127062,341,6.200245674
tmp.log:308:Motif:,176112,176799,210236,210920,684,15.4681731
tmp.log:309:Motif:,196843,197290,198169,198614,445,7.750841287
tmp.log:310:Motif:,88089,88964,137021,137928,875,9.801647927
tmp.log:311:Motif:,222501,223155,235245,235893,648,10.94589483
tmp.log:312:Motif:,180978,181398,186035,186457,420,4.624994038
tmp.log:313:Motif:,151789,152214,231367,231791,424,2.907984354
tmp.log:314:Motif:,35993,37515,167077,168632,1522,38.24530733
tmp.log:315:Motif:,92740,93128,121153,121565,388,14.00693625
tmp.log:316:Motif:,127783,128507,174870,175586,716,26.34233961
tmp.log:317:Motif:,80687,81116,127547,127976,429,4.784678234
tmp.log:318:Motif:,107277,108401,111613,112721,1108,22.89634304
tmp.log:319:Motif:,59595,60236,154632,155280,641,13.92002525
tmp.log:320:Motif:,46139,46469,102678,103030,330,25.79681386
tmp.log:321:Motif:,207489,207821,218558,218875,317,17.32133629
tmp.log:322:Motif:,210037,211024,219019,220009,987,17.87002688
tmp.log:323:Motif:,23283,24012,46760,47496,729,15.61829494
tmp.log:324:Motif:,2177,2566,150158,150557,389,10.84078126
tmp.log:325:Motif:,190993,191880,192234,193130,887,14.9426927
tmp.log:326:Motif:,33562,34398,55368,56185,817,27.22502454
tmp.log:327:Motif:,21497,21863,35636,36002,366,8.429638027
